fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,8,0.24,17926.429479,20985.113509,3935.0,2687.0
0.0,8,0.24,19384.062813,22004.723057,2993.0,2329.0
0.0,8,0.24,17217.174594,19865.297741,3511.0,2435.0
0.0,8,0.24,20540.823832,22652.287582,2719.0,2295.0
0.0,8,0.25,20330.338632,22700.042337,2894.0,2362.0
0.0,8,0.25,20549.934584,23013.178703,2293.0,1897.0
0.0,8,0.25,20969.633943,23339.321357,2404.0,2004.0
0.0,8,0.25,17247.693842,20019.839825,4011.0,2747.0
0.0,8,0.25,19867.222033,22502.815071,2941.0,2309.0
0.0,8,0.26,20624.737505,23149.974187,2381.0,1937.0
0.0,8,0.26,18989.58662,22084.164859,3169.0,2305.0
0.0,8,0.26,18122.306525,21038.656527,3295.0,2367.0
0.0,8,0.26,21655.368421,23958.312531,2375.0,2003.0
0.0,8,0.26,17948.53364,20719.687875,3478.0,2499.0
0.0,8,0.27,19176.30597,22236.324786,3216.0,2340.0
0.0,8,0.27,18539.136796,21343.658537,2734.0,2050.0
0.0,8,0.27,17896.629942,20625.110522,3086.0,2262.0
0.0,8,0.27,20257.285276,22744.554924,2608.0,2112.0
0.0,8,0.27,18951.475293,21691.966371,2813.0,2141.0
0.0,8,0.28,19136.439546,22044.666667,2994.0,2250.0
0.0,8,0.28,18815.179422,21412.28796,3149.0,2417.0
0.0,8,0.28,23453.27304,25513.875365,2322.0,2054.0
0.0,8,0.28,20485.386691,22556.236674,2224.0,1876.0
0.0,8,0.28,19940.465397,22974.650699,3309.0,2505.0
0.0,8,0.29,22270.841643,24196.777122,2507.0,2203.0
0.0,8,0.29,19871.407785,22592.549745,2749.0,2161.0
0.0,8,0.29,18355.860268,21214.189493,3063.0,2227.0
0.0,8,0.29,21456.521739,23594.659037,2461.0,2097.0
0.0,8,0.29,21056.978471,23509.066183,2694.0,2206.0
0.0,8,0.3,21470.349829,23653.729839,2344.0,1984.0
0.0,8,0.3,21873.668513,24095.62154,2347.0,1987.0
0.0,8,0.3,19797.912992,22866.862745,3402.0,2550.0
0.0,8,0.3,19061.741242,21682.877633,2883.0,2231.0
0.0,8,0.3,19523.816657,22359.461599,3338.0,2526.0
0.01,4,0.02,10021.090535,9561.55303,972.0,528.0
0.01,4,0.02,9908.690176,9486.666667,794.0,450.0
0.01,4,0.02,9809.262948,9351.027397,1004.0,584.0
0.01,4,0.02,9721.512247,9338.365897,939.0,563.0
0.01,4,0.02,10043.842365,9485.374771,1015.0,547.0
0.01,4,0.03,8574.193548,8875.0,620.0,484.0
0.01,4,0.03,9957.55237,9402.912621,907.0,515.0
0.01,4,0.03,9693.501455,9326.953748,1031.0,627.0
0.01,4,0.03,9773.459716,9320.634921,1055.0,630.0
0.01,4,0.03,9679.791271,9083.067093,1054.0,626.0
0.01,4,0.04,9878.183362,9280.791789,1178.0,682.0
0.01,4,0.04,9883.095038,9332.838039,1189.0,673.0
0.01,4,0.04,9660.799239,9130.048465,1051.0,619.0
0.01,4,0.04,9928.066038,9307.142857,1272.0,700.0
0.01,4,0.04,9917.613636,9304.898649,1056.0,592.0
0.01,4,0.05,9969.060351,9176.17689,1309.0,701.0
0.01,4,0.05,9477.472527,9072.299652,910.0,574.0
0.01,4,0.05,8676.056338,8969.93988,639.0,499.0
0.01,4,0.05,10016.129032,9374.828061,1271.0,727.0
0.01,4,0.05,9920.226678,9403.508772,1147.0,627.0
0.01,4,0.06,9740.562249,9069.816643,1245.0,709.0
0.01,4,0.06,9658.914729,9098.837209,1032.0,602.0
0.01,4,0.06,9726.864331,9106.20155,1113.0,645.0
0.01,4,0.06,9851.569126,9215.568862,1179.0,668.0
0.01,4,0.06,9822.272727,9185.917722,1100.0,632.0
0.01,4,0.07,9701.030928,9073.170732,1164.0,656.0
0.01,4,0.07,9866.875489,9205.963939,1277.0,721.0
0.01,4,0.07,9899.362477,9352.664577,1098.0,638.0
0.01,4,0.07,9586.829268,9156.606852,1025.0,613.0
0.01,4,0.07,9773.978686,9209.230769,1126.0,650.0
0.01,4,0.08,9654.159132,9017.912773,1106.0,642.0
0.01,4,0.08,9690.524194,9289.166667,992.0,600.0
0.01,4,0.08,9900.30326,9145.116919,1319.0,727.0
0.01,4,0.08,10070.901639,9395.958084,1220.0,668.0
0.01,4,0.08,9986.626402,9304.783951,1159.0,648.0
0.01,4,0.09,9558.526741,9061.32879,991.0,587.0
0.01,4,0.09,9788.822526,9121.601208,1172.0,662.0
0.01,4,0.09,9766.726137,9047.001621,1121.0,617.0
0.01,4,0.09,8501.845018,8963.133641,542.0,434.0
0.01,4,0.09,9933.769419,9217.800289,1223.0,691.0
0.01,4,0.1,9875.313808,9158.718331,1195.0,671.0
0.01,4,0.1,9824.269481,9175.635277,1232.0,669.0
0.01,4,0.1,10051.292744,9306.002928,1199.0,683.0
0.01,4,0.1,8938.744257,8873.11828,653.0,465.0
0.01,4,0.1,10013.293944,9276.13941,1354.0,746.0
0.01,4,0.11,8447.368421,8943.055556,456.0,360.0
0.01,4,0.11,9975.085911,9333.850932,1164.0,644.0
0.01,4,0.11,9933.739528,9054.785021,1313.0,721.0
0.01,4,0.11,9319.915254,9288.541667,708.0,480.0
0.01,4,0.11,9813.829787,9109.42029,1222.0,690.0
0.01,4,0.12,10115.168539,9272.303595,1424.0,751.0
0.01,4,0.12,9909.892638,9162.200282,1304.0,709.0
0.01,4,0.12,10068.613652,9183.355007,1421.0,769.0
0.01,4,0.12,10105.027548,9269.329897,1452.0,776.0
0.01,4,0.12,9759.624877,9212.643678,1013.0,609.0
0.01,4,0.13,8818.65285,9048.275862,579.0,435.0
0.01,4,0.13,10002.076412,9425.451807,1204.0,664.0
0.01,4,0.13,9883.842444,9191.860465,1244.0,688.0
0.01,4,0.13,8543.172691,8941.025641,498.0,390.0
0.01,4,0.13,9052.238806,8972.553699,603.0,419.0
0.01,4,0.14,10054.769001,9272.038567,1342.0,726.0
0.01,4,0.14,10175.233645,9374.683544,1498.0,790.0
0.01,4,0.14,8818.933824,9063.679245,544.0,424.0
0.01,4,0.14,10138.067772,9239.243807,1387.0,767.0
0.01,4,0.14,9374.399038,9005.769231,832.0,520.0
0.01,4,0.15,8482.857143,8907.990315,525.0,413.0
0.01,4,0.15,9479.116945,9139.405204,838.0,538.0
0.01,4,0.15,10076.466916,9271.377672,1602.0,842.0
0.01,4,0.15,9944.278235,9179.104478,1337.0,737.0
0.01,4,0.15,9725.116279,9160.162602,1075.0,615.0
0.01,4,0.16,10053.970702,9141.678129,1297.0,727.0
0.01,4,0.16,9582.183908,9020.27027,870.0,518.0
0.01,4,0.16,9639.0625,9159.628378,960.0,592.0
0.01,4,0.16,9971.223022,9243.085881,1251.0,687.0
0.01,4,0.16,9732.693912,9069.955817,1199.0,679.0
0.01,4,0.17,9447.890819,9225.868726,806.0,518.0
0.01,4,0.17,10068.014706,9328.804348,1360.0,736.0
0.01,4,0.17,9895.816573,9190.303907,1243.0,691.0
0.01,4,0.17,8913.821138,9022.875817,615.0,459.0
0.01,4,0.17,9444.915254,9207.264957,708.0,468.0
0.01,4,0.18,10086.243763,9223.418573,1403.0,743.0
0.01,4,0.18,9850.07728,8943.593315,1294.0,718.0
0.01,4,0.18,9769.958848,9068.081991,1215.0,683.0
0.01,4,0.18,9919.518964,9171.899529,1081.0,637.0
0.01,4,0.18,8968.297101,9117.5,552.0,400.0
0.01,4,0.19,9936.285936,9179.020979,1287.0,715.0
0.01,4,0.19,9081.683168,8300.403226,808.0,496.0
0.01,4,0.19,10166.465984,9259.931896,1661.0,881.0
0.01,4,0.19,9644.600939,9000.794913,1065.0,629.0
0.01,4,0.19,8416.970803,8880.580357,548.0,448.0
0.01,4,0.2,10008.537491,9362.718708,1347.0,743.0
0.01,4,0.2,9510.791367,8931.818182,834.0,506.0
0.01,4,0.2,9392.535393,9121.807466,777.0,509.0
0.01,4,0.2,8759.469697,8987.113402,528.0,388.0
0.01,4,0.2,10050.549451,9188.602442,1365.0,737.0
0.01,4,0.21,9054.602184,9130.242826,641.0,453.0
0.01,4,0.21,10051.408987,9280.141844,1313.0,705.0
0.01,4,0.21,10306.027397,9250.528541,1825.0,946.0
0.01,4,0.21,10157.124682,9214.371981,1572.0,828.0
0.01,4,0.21,9440.568475,9105.577689,774.0,502.0
0.01,4,0.22,10016.519824,9202.0,1362.0,750.0
0.01,4,0.22,8894.589552,9032.5,536.0,400.0
0.01,4,0.22,8490.950226,8948.830409,442.0,342.0
0.01,4,0.22,8263.69863,8769.005848,438.0,342.0
0.01,4,0.22,9906.609195,9218.954248,1044.0,612.0
0.01,4,0.23,9311.662198,9079.218107,746.0,486.0
0.01,4,0.23,9335.285505,9195.931478,683.0,467.0
0.01,4,0.23,10251.094434,9203.571429,1599.0,840.0
0.01,4,0.23,9695.243363,9179.227941,904.0,544.0
0.01,4,0.23,10095.683453,9227.572559,1390.0,758.0
